"Data Import Template"
"Table:","Item Group"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Item Group","","","","","","","","","","","","~","Item Website Specification","item_website_specifications",""
"Column Labels:","ID","Item Group Name","Has Child Node","Parent Item Group","Default Income Account","Default Expense Account","Default Cost Center","Show in Website","Page Name","Parent Website Route","Slideshow","Description","","ID","Label","Description"
"Column Name:","name","item_group_name","is_group","parent_item_group","default_income_account","default_expense_account","default_cost_center","show_in_website","page_name","parent_website_route","slideshow","description","~","name","label","description"
"Mandatory:","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","","Yes","No","No"
"Type:","Data (text)","Data","Select","Link","Link","Link","Link","Check","Data","Read Only","Link","Text Editor","","Data","Data","Text"
"Info:","","","One of: Yes, No","Valid Item Group","Valid Account","Valid Account","Valid Cost Center","0 or 1","","","Valid Website Slideshow","","","Leave blank for new records","",""
"Start entering data below this line"
"","""Energy""","Energy","Yes","All Item Groups","","","",0,"energy","all-item-groups","","","","","",""
"","""LPG""","LPG","Yes","Energy","","","",0,"lpg","all-item-groups/energy","","","","","",""
"","""Packed LPG""","Packed LPG","No","LPG","","","",0,"packed-lpg","all-item-groups/energy/lpg","","","","","",""
"","""All Item Groups""","All Item Groups","Yes","","","","",0,"","","","","","","",""
"","""Services""","Services","Yes","All Item Groups","","","",0,"","all-item-groups","","","","","",""
