"Data Import Template"
"Table:","Company"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Company","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Column Labels:","ID","Company","Abbr","Country","Default Currency","Domain","Chart of Accounts","Default Bank Account","Default Cash Account","Receivables Group","Payables Group","Default Expense Account","Default Income Account","Cost Center","Credit Days","Credit Limit","If Yearly Budget Exceeded","If Monthly Budget Exceeded","Stock Received But Not Billed","Stock Adjustment Account","Expenses Included In Valuation","Address","Phone No","Fax","Email","Website","Registration Details"
"Column Name:","name","company_name","abbr","country","default_currency","domain","chart_of_accounts","default_bank_account","default_cash_account","receivables_group","payables_group","default_expense_account","default_income_account","cost_center","credit_days","credit_limit","yearly_bgt_flag","monthly_bgt_flag","stock_received_but_not_billed","stock_adjustment_account","expenses_included_in_valuation","address","phone_no","fax","email","website","registration_details"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Type:","Data (text)","Data","Data","Link","Link","Select","Link","Link","Link","Link","Link","Link","Link","Link","Int","Currency","Select","Select","Link","Link","Link","Small Text","Data","Data","Data","Data","Code"
"Info:","","","","Valid Country","Valid Currency","One of: Distribution, Manufacturing, Retail, Services","Valid Chart of Accounts","Valid Account","Valid Account","Valid Account","Valid Account","Valid Account","Valid Account","Valid Cost Center","Integer","","One of: Warn, Ignore, Stop","One of: Warn, Ignore, Stop","Valid Account","Valid Account","Valid Account","","","","","",""
"Start entering data below this line"
"","""Mosaic Enterprises Ltd.""","Mosaic Enterprises Ltd.","MO","India","INR","Distribution","","","Cash - MO","Accounts Receivable - MO","Accounts Payable - MO","","Sales - MO","Main - MO","","","","","","","","","","","","",""
"","""Ludhiana Enterprises Ltd.""","Ludhiana Enterprises Ltd.","LE","India","INR","Distribution","","","Cash - LE","Accounts Receivable - LE","Accounts Payable - LE","","Sales - LE","Main - LE","","","","","","","","","","","","",""
"","""Alpine Energy""","Alpine Energy","AE","India","INR","Distribution","","","Cash - AE","Accounts Receivable - AE","Accounts Payable - AE","","Sales - AE","Main - AE","","","","","","","","","","","","",""
"","""Aggarwal Enterprises""","Aggarwal Enterprises","AGE","India","INR","Distribution","","","Cash - AGE","Accounts Receivable - AGE","Accounts Payable - AGE","","Sales - AGE","Main - AGE","","","","","","","","","","","","",""
"","""Arun Logistics""","Arun Logistics","AL","India","INR","Distribution","","","Cash - AL","Accounts Receivable - AL","Accounts Payable - AL","","Sales - AL","Main - AL","","","","","Stock Received But Not Billed - AL","Stock Adjustment - AL","Expenses Included In Valuation - AL","","","","","",""
