"Data Import Template"
"Table:","Custom Field"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Custom Field","","","","","","","","","","","","","","","","","","","","","",""
"Column Labels:","ID","Document","Field Type","Label","Insert After","Precision","Options","Field Description","Fieldname","Permission Level","Is Mandatory Field","Read Only","Ignore User Permissions","Width","Default Value","Hidden","Depends On","Print Hide","No Copy","Allow on Submit","In Report Filter","In List View","Report Hide"
"Column Name:","name","dt","fieldtype","label","insert_after","precision","options","description","fieldname","permlevel","reqd","read_only","ignore_user_permissions","width","default","hidden","depends_on","print_hide","no_copy","allow_on_submit","in_filter","in_list_view","report_hide"
"Mandatory:","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Type:","Data (text)","Link","Select","Data","Select","Select","Text","Text","Data","Int","Check","Check","Check","Data","Text","Check","Data","Check","Check","Check","Check","Check","Check"
"Info:","","Valid DocType","One of: Button, Check, Code, Column Break, Currency, Data, Date, Datetime, Dynamic Link, Float, HTML, Image, Int, Link, Long Text, Password, Percent, Read Only, Section Break, Select, Small Text, Table, Text, Text Editor, Time","","","One of: 1, 2, 3, 4, 5, 6, 7, 8, 9","","","","Integer","0 or 1","0 or 1","0 or 1","","","0 or 1","","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1"
"Start entering data below this line"
"","""Account-account_number""","Account","Data","Account Number","","","","","account_number",0,0,0,0,"","",0,"eval:doc.account_type=='Bank'",0,0,0,0,0,0
"","""Account-ifsc_code""","Account","Data","IFSC Code","","","","","ifsc_code",0,0,0,0,"","",0,"eval:doc.account_type=='Bank'",0,0,0,0,0,0
"","""Journal Voucher-reference_bank""","Journal Voucher","Data","Reference Bank","","","","","reference_bank",0,0,0,0,"","",0,"eval:doc.voucher_type=='Bank Voucher'",0,0,0,0,0,0
"","""Customer-customer_registration_number_cbreak1""","Customer","Column Break","Customer Registration Number CBREAK1","","","","","customer_registration_number_cbreak1",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Lead-customer_details""","Lead","Small Text","Customer Details","","","","","customer_details",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Customer-customer_registration_number_cbreak2""","Customer","Column Break","Customer Registration Number CBREAK2","","","","","customer_registration_number_cbreak2",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Purchase Order-customer""","Purchase Order","Link","Customer","","","Customer","","customer",0,1,0,0,"","",0,"",0,0,0,0,0,0
"","""Customer-hpcl_erp_number""","Customer","Data","HPCL ERP Number","","","","","hpcl_erp_number",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Customer-bpcl_sap_code""","Customer","Data","BPCL SAP Code","","","","","bpcl_sap_code",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Customer-iocl_sap_code""","Customer","Data","IOCL SAP Code","","","","","iocl_sap_code",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Customer-service_tax_liability""","Customer","Select","Service Tax Liability","","","Transporter
Consignee(Customer)","Service Tax To Be Paid By","service_tax_liability",0,0,0,0,"","Transporter",0,"",0,0,0,0,0,0
"","""Supplier-tin_number""","Supplier","Data","Tin Number","","","","","tin_number",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Supplier-pan_number""","Supplier","Data","Pan Number","","","","","pan_number",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Supplier-registrations_number""","Supplier","Section Break","Registrations Number","","","","","registrations_number",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Invoice-consignor""","Sales Invoice","Link","Consignor","","","Supplier","","consignor",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Customer-ecc_number""","Customer","Data","ECC Number","","","","","ecc_number",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Customer-tin_number""","Customer","Data","TIN Number","","","","","tin_number",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Customer-pan_number""","Customer","Data","PAN Number","","","","","pan_number",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Customer-registration_number""","Customer","Section Break","Registration Number","","","","","registration_number",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Stock Ledger Entry-process""","Stock Ledger Entry","Data","Process","voucher_detail_no","","","","process",0,0,1,0,"","",0,"",0,0,0,0,0,0
"","""Customer-rate_match_algorithm""","Customer","Select","Rate Match Algorithm","","","Discount & Credit Note
Credit Note Only","","rate_match_algorithm",0,0,0,0,"","Discount & Credit Note",0,"",0,0,0,0,0,0
"","""Customer-cbreak2""","Customer","Column Break","cbreak2","","","","","cbreak2",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Account-responsible_user""","Account","Link","Responsible User","","","User","","responsible_user",0,0,0,0,"","",0,"eval:doc.account_type=='Imprest'",0,0,0,0,0,0
