"Data Import Template"
"Table:","Item"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Item","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","~","Item Reorder","item_reorder","","","","~","UOM Conversion Detail","uom_conversion_details","","~","Item Supplier","item_supplier_details","","~","Item Customer Detail","item_customer_details","","~","Item Tax","item_tax","","~","Item Quality Inspection Parameter","item_specification_details","","~","Website Item Group","website_item_groups","~","Item Website Specification","item_website_specifications",""
"Column Labels:","ID","Item Code","Item Name","Item Group","Default Unit of Measure","Description","Is Stock Item","Is Fixed Asset Item","Has Batch No","Has Serial No","Is Purchase Item","Is Sales Item","Is Service Item","Inspection Required","Allow Bill of Materials","Allow Production Order","Is Sub Contracted Item","Brand","Barcode","Image","Description HTML","Default Warehouse","Allowance Percent","Valuation Method","Minimum Order Qty","Serial Number Series","Warranty Period (in days)","End of Life","Net Weight","Weight UOM","Re-Order Level","Re-Order Qty","Default Supplier","Lead Time Days","Default Expense Account","Default Buying Cost Center","Last Purchase Rate","Manufacturer","Manufacturer Part Number","Max Discount (%)","Default Income Account","Default Selling Cost Center","Default BOM","Show in Website","Page Name","Weightage","Slideshow","Image","Website Warehouse","Website Description","Parent Website Route","","ID","Warehouse","Re-order Level","Material Request Type","Re-order Qty","","ID","UOM","Conversion Factor","","ID","Supplier","Supplier Part Number","","ID","Customer Name","Ref Code","","ID","Tax","Tax Rate","","ID","Parameter","Acceptance Criteria","","ID","Item Group","","ID","Label","Description"
"Column Name:","name","item_code","item_name","item_group","stock_uom","description","is_stock_item","is_asset_item","has_batch_no","has_serial_no","is_purchase_item","is_sales_item","is_service_item","inspection_required","is_manufactured_item","is_pro_applicable","is_sub_contracted_item","brand","barcode","image","description_html","default_warehouse","tolerance","valuation_method","min_order_qty","serial_no_series","warranty_period","end_of_life","net_weight","weight_uom","re_order_level","re_order_qty","default_supplier","lead_time_days","expense_account","buying_cost_center","last_purchase_rate","manufacturer","manufacturer_part_no","max_discount","income_account","selling_cost_center","default_bom","show_in_website","page_name","weightage","slideshow","website_image","website_warehouse","web_long_description","parent_website_route","~","name","warehouse","warehouse_reorder_level","material_request_type","warehouse_reorder_qty","~","name","uom","conversion_factor","~","name","supplier","supplier_part_no","~","name","customer_name","ref_code","~","name","tax_type","tax_rate","~","name","specification","value","~","name","item_group","~","name","label","description"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","Yes","Yes","No","","Yes","No","No","","Yes","No","No","","Yes","Yes","Yes","","Yes","Yes","No","","Yes","Yes","No","","Yes","Yes","","Yes","No","No"
"Type:","Data (text)","Data","Data","Link","Link","Small Text","Select","Select","Select","Select","Select","Select","Select","Select","Select","Select","Select","Link","Data","Attach","Small Text","Link","Float","Select","Float","Data","Data","Date","Float","Link","Float","Float","Link","Int","Link","Link","Float","Data","Data","Float","Link","Link","Link","Check","Data","Int","Link","Select","Link","Text Editor","Read Only","","Data","Link","Float","Select","Float","","Data","Link","Float","","Data","Link","Data","","Data","Link","Data","","Data","Link","Float","","Data","Data","Data","","Data","Link","","Data","Data","Text"
"Info:","","","","Valid Item Group","Valid UOM","","One of: Yes, No","One of: Yes, No","One of: Yes, No","One of: Yes, No","One of: Yes, No","One of: Yes, No","One of: Yes, No","One of: Yes, No","One of: Yes, No","One of: Yes, No","One of: Yes, No","Valid Brand","","","","Valid Warehouse","","One of: FIFO, Moving Average","","","","","","Valid UOM","","","Valid Supplier","Integer","Valid Account","Valid Cost Center","","","","","Valid Account","Valid Cost Center","Valid BOM","0 or 1","","Integer","Valid Website Slideshow","One of: attach_files:","Valid Warehouse","","","","Leave blank for new records","Valid Warehouse","","One of: Purchase, Transfer","","","Leave blank for new records","Valid UOM","","","Leave blank for new records","Valid Supplier","","","Leave blank for new records","Valid Customer","","","Leave blank for new records","Valid Account","","","Leave blank for new records","","","","Leave blank for new records","Valid Item Group","","Leave blank for new records","",""
"Start entering data below this line"
"","""LPG Transport""","LPG Transport","LPG TransportLPG Transport","Services","Kg","LPG Transport","No","No","No","No","No","Yes","Yes","No","No","No","No","","","","","","","",0.0,"","","","","","","","","","","","","","","","Service - AL","","",0,"lpg-transportlpg-transport","","","","","","all-item-groups/services","","","","","","","","""UCDD/00012""","Kg",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""EC47.5L""","EC47.5L","EC47.5L","Packed LPG","Nos","EC47.5L","Yes","No","No","No","Yes","Yes","No","No","No","No","No","","","","","Sherpur Godwon - AL",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"",0,"","",0.0,"","",0.0,"","","",0,"ec475l",0,"","","","","all-item-groups/energy/lpg/packed-lpg","","","","","","","","""UCDD/00008""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""FC47.5L""","FC47.5L","FC47.5L","Packed LPG","Nos","FC47.5L","Yes","No","No","No","Yes","Yes","No","No","No","No","No","","","","","Sherpur Godwon - AL",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"",0,"","",0.0,"","",0.0,"","","",0,"fc475l",0,"","","","","all-item-groups/energy/lpg/packed-lpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""FC35""","FC35","FC35","Packed LPG","Nos","FC35","Yes","No","No","No","Yes","Yes","No","No","No","No","No","","","","","Sherpur Godwon - AL",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"",0,"","",0.0,"","",0.0,"","","",0,"fc35",0,"","","","","all-item-groups/energy/lpg/packed-lpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
