"Data Import Template"
"Table:","Supplier Type"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Supplier Type",""
"Column Labels:","ID","Supplier Type"
"Column Name:","name","supplier_type"
"Mandatory:","Yes","Yes"
"Type:","Data (text)","Data"
"Info:","",""
"Start entering data below this line"
"","""Fuel Pump""","Fuel Pump"
"","""Gas Plant""","Gas Plant"
"","""Transport Service""","Transport Service"
"","""Gas Company""","Gas Company"
